branch,filename,size_kb,width,height,status,message
time_series,/data1/minhntn/nhatminh/VinFast/Timeseries_prediction/outputs/lhs_1000_seed42/time_series/lhs_official_full_20260717_100115/figures/bayesian_mlp_learning_curves.png,59.38,1260,900,PASS,
time_series,/data1/minhntn/nhatminh/VinFast/Timeseries_prediction/outputs/lhs_1000_seed42/time_series/lhs_official_full_20260717_100115/figures/bayesian_mlp_response_curves_vs_capacity.png,352.84,2160,1890,PASS,
time_series,/data1/minhntn/nhatminh/VinFast/Timeseries_prediction/outputs/lhs_1000_seed42/time_series/lhs_official_full_20260717_100115/figures/bayesian_mlp_temperature_parity.png,117.95,1080,1080,PASS,
time_series,/data1/minhntn/nhatminh/VinFast/Timeseries_prediction/outputs/lhs_1000_seed42/time_series/lhs_official_full_20260717_100115/figures/bayesian_mlp_voltage_parity.png,150.29,1080,1080,PASS,
time_series,/data1/minhntn/nhatminh/VinFast/Timeseries_prediction/outputs/lhs_1000_seed42/time_series/lhs_official_full_20260717_100115/figures/best_model_response_curves_vs_capacity.png,359.17,2160,1890,PASS,
time_series,/data1/minhntn/nhatminh/VinFast/Timeseries_prediction/outputs/lhs_1000_seed42/time_series/lhs_official_full_20260717_100115/figures/bilstm_learning_curves.png,57.37,1260,900,PASS,
time_series,/data1/minhntn/nhatminh/VinFast/Timeseries_prediction/outputs/lhs_1000_seed42/time_series/lhs_official_full_20260717_100115/figures/bilstm_response_curves_vs_capacity.png,343.66,2160,1890,PASS,
time_series,/data1/minhntn/nhatminh/VinFast/Timeseries_prediction/outputs/lhs_1000_seed42/time_series/lhs_official_full_20260717_100115/figures/bilstm_temperature_parity.png,119.38,1080,1080,PASS,
time_series,/data1/minhntn/nhatminh/VinFast/Timeseries_prediction/outputs/lhs_1000_seed42/time_series/lhs_official_full_20260717_100115/figures/bilstm_voltage_parity.png,143.19,1080,1080,PASS,
time_series,/data1/minhntn/nhatminh/VinFast/Timeseries_prediction/outputs/lhs_1000_seed42/time_series/lhs_official_full_20260717_100115/figures/cnn_bilstm_learning_curves.png,58.95,1260,900,PASS,
time_series,/data1/minhntn/nhatminh/VinFast/Timeseries_prediction/outputs/lhs_1000_seed42/time_series/lhs_official_full_20260717_100115/figures/cnn_bilstm_response_curves_vs_capacity.png,340.03,2160,1890,PASS,
time_series,/data1/minhntn/nhatminh/VinFast/Timeseries_prediction/outputs/lhs_1000_seed42/time_series/lhs_official_full_20260717_100115/figures/cnn_bilstm_temperature_parity.png,109.87,1080,1080,PASS,
time_series,/data1/minhntn/nhatminh/VinFast/Timeseries_prediction/outputs/lhs_1000_seed42/time_series/lhs_official_full_20260717_100115/figures/cnn_bilstm_voltage_parity.png,130.89,1080,1080,PASS,
